iteration,elo_type,boosting_rounds,tree_depth,learning_rate,column_sample_proportion,alpha,training_score,validation_score
1,elo,100,3,0.1,0.3,1,0.49175546716713925,0.40681506752077967
2,elo,100,3,0.1,0.5,1,0.49344000098105645,0.4103371051442819
3,elo,100,3,0.1,0.7,1,0.4924512125150208,0.4108141251274211
4,elo,100,5,0.1,0.3,1,0.5938470864516834,0.4203745530980756
5,elo,100,5,0.1,0.5,1,0.5970534169488921,0.4415247582794094
6,elo,100,5,0.1,0.7,1,0.5962241173519638,0.4342984867582439
7,elo,100,8,0.1,0.3,1,0.7415511993738748,0.4159578687146006
8,elo,100,8,0.1,0.5,1,0.7340374453378342,0.416963830516045
9,elo,100,8,0.1,0.7,1,0.7413111553399896,0.42721797367913095
10,elo,200,3,0.1,0.3,1,0.5331056672215547,0.42470338096455873
11,elo,200,3,0.1,0.5,1,0.5329118621132082,0.42795042882230483
12,elo,200,3,0.1,0.7,1,0.5354334286206095,0.43169105226327564
13,elo,200,5,0.1,0.3,1,0.6448492720254921,0.4357334375606692
14,elo,200,5,0.1,0.5,1,0.6502294360529806,0.45269288514677497
15,elo,200,5,0.1,0.7,1,0.6478217361830143,0.44309294831475965
16,elo,200,8,0.1,0.3,1,0.8058111253357326,0.4322732703906853
17,elo,200,8,0.1,0.5,1,0.795948441559999,0.42503554476827043
18,elo,200,8,0.1,0.7,1,0.801696068619941,0.42715180124496865
19,elo,500,3,0.1,0.3,1,0.5956924743894849,0.44040525883694404
20,elo,500,3,0.1,0.5,1,0.597868551957607,0.44162343149930083
21,elo,500,3,0.1,0.7,1,0.5982588755631518,0.43755789320438065
22,elo,500,5,0.1,0.3,1,0.7337926994820663,0.4359586979440898
23,elo,500,5,0.1,0.5,1,0.7383726487202427,0.4479827734767824
24,elo,500,5,0.1,0.7,1,0.7384361441228013,0.4460190559910131
25,elo,500,8,0.1,0.3,1,0.9027263531377449,0.4252835746507302
26,elo,500,8,0.1,0.5,1,0.9085599473221735,0.4286349580240748
27,elo,500,8,0.1,0.7,1,0.9087064904924369,0.4136970193974433
28,elo,800,3,0.1,0.3,1,0.6338702184777805,0.44843477108984586
29,elo,800,3,0.1,0.5,1,0.6391274379444027,0.44143782478043314
30,elo,800,3,0.1,0.7,1,0.6417979914321043,0.44022401867629346
31,elo,800,5,0.1,0.3,1,0.7977457631545272,0.4113444119292716
32,elo,800,5,0.1,0.5,1,0.7981044295559074,0.4463987375177111
33,elo,800,5,0.1,0.7,1,0.8020109147480714,0.4434269737486125
34,elo,800,8,0.1,0.3,1,0.9547886890214519,0.41206135474455396
35,elo,800,8,0.1,0.5,1,0.9603905218136712,0.41719845007170075
36,elo,800,8,0.1,0.7,1,0.9585239227211084,0.4031094378381912
37,elo_log,100,3,0.1,0.3,1,0.43464183183703964,0.33819631536997996
38,elo_log,100,3,0.1,0.5,1,0.44204056626941346,0.3567810841205994
39,elo_log,100,3,0.1,0.7,1,0.4397996825238508,0.3498092553187542
40,elo_log,100,5,0.1,0.3,1,0.5044998602976764,0.3416324034893953
41,elo_log,100,5,0.1,0.5,1,0.5107408844912974,0.35807910868512793
42,elo_log,100,5,0.1,0.7,1,0.5171143153217936,0.3514014628570472
43,elo_log,100,8,0.1,0.3,1,0.5744601340355003,0.3008013967394022
44,elo_log,100,8,0.1,0.5,1,0.592950292359522,0.33405017436004036
45,elo_log,100,8,0.1,0.7,1,0.6111501054143293,0.3349179266478055
46,elo_log,200,3,0.1,0.3,1,0.48533847934960195,0.3720357574779267
47,elo_log,200,3,0.1,0.5,1,0.4893405543770375,0.38105921865516756
48,elo_log,200,3,0.1,0.7,1,0.4908965958062793,0.3772977366701753
49,elo_log,200,5,0.1,0.3,1,0.5777001083897662,0.36880564190133347
50,elo_log,200,5,0.1,0.5,1,0.5878501464115868,0.39118405939457623
51,elo_log,200,5,0.1,0.7,1,0.5955621407074935,0.37783034899599666
52,elo_log,200,8,0.1,0.3,1,0.6822805670656977,0.3359059659041753
53,elo_log,200,8,0.1,0.5,1,0.705054824779783,0.3619727117521361
54,elo_log,200,8,0.1,0.7,1,0.7242209345802515,0.3608176827667283
55,elo_log,500,3,0.1,0.3,1,0.5467228018878539,0.40848132209794596
56,elo_log,500,3,0.1,0.5,1,0.5533708684308625,0.405251327480993
57,elo_log,500,3,0.1,0.7,1,0.5589481323298854,0.4066652376989829
58,elo_log,500,5,0.1,0.3,1,0.6305652361357783,0.38441994497160403
59,elo_log,500,5,0.1,0.5,1,0.6608933013748597,0.4059882105027378
60,elo_log,500,5,0.1,0.7,1,0.6594721326011204,0.38371334980308724
61,elo_log,500,8,0.1,0.3,1,0.7111759148187322,0.3420794486870731
62,elo_log,500,8,0.1,0.5,1,0.7266100410366312,0.36540245411142613
63,elo_log,500,8,0.1,0.7,1,0.732982070324218,0.3612421634280232
64,elo_log,800,3,0.1,0.3,1,0.5750664599248215,0.40809239446304624
65,elo_log,800,3,0.1,0.5,1,0.5772868934249025,0.41063598485835373
66,elo_log,800,3,0.1,0.7,1,0.5834633484279295,0.41066063189671054
67,elo_log,800,5,0.1,0.3,1,0.6305652361357783,0.38441994497160403
68,elo_log,800,5,0.1,0.5,1,0.6608933013748597,0.4059882105027378
69,elo_log,800,5,0.1,0.7,1,0.6594721326011204,0.38371334980308724
70,elo_log,800,8,0.1,0.3,1,0.7111759148187322,0.3420794486870731
71,elo_log,800,8,0.1,0.5,1,0.7266100410366312,0.36540245411142613
72,elo_log,800,8,0.1,0.7,1,0.732982070324218,0.3612421634280232
73,elo_relative_all,100,3,0.1,0.3,1,0.4752524087117992,0.36405052262066284
